Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year
Carbone,Mariah Carbone, UCSB,Mariah Carbone Northern Arizona University,NCEAS,"Earth system science, climate change, global change ecology, terrestrial biogeochemical cycling, isotopes (mainly 14C), biosphere-atmosphere exchanges of carbon, water, and energy, plant-soil interactions, partitioning respiration",,,
Clarke,Brian Clarke, UCSB,Brian Clarke UCSB,ERI,Cartography – GIS - modeling land use change,,,
Collins,Mary Collins, UCSB,Mary Collins SUNY,ERI,Environmental sociology focused on environmental inequality,,,
Crempien,Jorge Crempien, UCSB,Jorge Crempien Pontificia Universidad,ERI,"Earthquake seismology, from the understanding of the physical process based on seismic and geodetic records, to the simulation of soil movement caused by earthquakes",,,
DeVecchio,Duane DeVecchio, UCSB,Duane DeVecchio UCSB,ERI and Arizona State University,Structural geology and geomorphology,,,
Dugan,Jenifer Dugan, UCSB,Jenifer Dugan UCSB,MSI,Coastal marine ecologist with broad interests in community and population dynamics,,,
Evelyn,Christopher Evelyn, UCSB,Christopher Evelyn UCSB,ERI,"Conservation Biology, Ecology and Evolution; Species Diversity; Reptiales; Amphibians.",,,
Fleishman,Erica Fleishman, UCSB,Erica Fleishman UCSB,ERI / UCD,Ecosystem-based Management,,,
Florsheim,Joan Florsheim, UCSB,Joan Florsheim UCSB,ERI,Fluvial geomorphology and earth surface processes,,,
Gardner,Helene Gardner, UCSB,Helene Gardner UCSB,Environmental Studies,"Environmental Toxicology, Environmental Chemistry, Air Quality and Pollution",,,
Hannah,Lee Hannah, UCSB,Lee Hannah Conservation International,Bren School,Climate Change Biology and Conservation Biology,,,
Haskell,William Haskell, UCSB,William Haskell MBARI,ERI ,"Marine biogeochemistry, Biological production, Carbon export; Physiochemical dynamics; Autonomous platforms",,,
Hegarty,Paul Hegarty, UCSB,Paul Hegarty UCSB,ERI ,Monitoring how earthquakes affect ground movement and soil stability,,,
Hess,Laura Hess, UCSB,Laura Hess UCSB,ERI,Wetlands; Spatial variability of the deforestation along the Amazon,,,
Homyak,Peter Homyak, UCSB,Peter Homyak UC Riverside,ERI,Ecosystem & Soil Microbial Processes,,,
Husak,Greg Husak, UCSB,Greg Husak UCSB,Geography,"Cropped area estimation, developing rainfall monitoring tools to better capture crop conditions, and the synthesis of a variety of indicators to estimate crop production conditions for a finite area",,,
Janee,Greg Janée, UCSB,Greg Janée UCSB,ERI,"Environmental Information Management, digital libraries",,,
Kappel,Carrie Kappel, UCSB,Carrie Kappel UCSB,NCEAS,"Marine Conservation Biology; community ecology, ocean and coastal management",,,
Kellett,Dawn Kellett, UCSB,Dawn Kellett Geological Survey of Canada,,"Tectonics, Geochronology, Thermochronology",,,
Knapp,Roland Knapp, UCSB,Roland Knapp UCSB,ERI,Herpetologist; examining how natural and anthropogenic factors influence the structure and function of aquatic ecosystems,,,
Kostadinov,Tihomir Kostadinov, UCSB,Tihomir Kostadinov California State University San Marcos,ERI,Earth System Science focusing on ocean optics and ocean color remote sensing. Development of bio-optical algorithms and the study of ocean ecology and biogeography using ocean color satellites,,,
Kylander-Clark,Andrew Kylander-Clark, UCSB,Andrew Kylander-Clark UCSB,Earth Science,Deep-time tectonics and Earth evolution,,,
Lavallee,Daniel Lavallee, UCSB,Daniel Lavallee UCSB,ERI,"Statistic of source and ground motion, nonlinear propagation of wave, stochastic models, scaling",,,
Leifer,Ira Leifer, UCSB,Ira Leifer UCSB,MSI,"Bubble chemico-hydronamics, breaking wave bubble plume, and marine hydrocarbon seep bubble visualization and modeling, hydrocarbon seep geochemistry, oil droplet hydrodynamics, turbulence visualization and digital particle imaging velocimetry (DPIV) and methane seep bubble visualization and modeling.",,,
